Key,Id,Chinese (Traditional)(zh-TW),English(en)
"S011",40508473421968,"C內銲區","Cir Inner Welding"
"S012",40508473421969,"C清根區","Cir Seam Milling"
"S013",40508473421970,"C外銲區","CirOut Welding"
"S014",40508473421971,"Shear Key區","Shear Key"
"S015",40508473421972,"Stabbing組立區","Stabbing Assembly"
"S016",40508473421973,"Stabbing組對至Can","Stabbing Assembly to Can"
"S017",40508473421974,"定位板組立區","Positioning plate Assembly"
"S018",40508473421975,"灌漿管組立區","Grout Pipe Assembly"
"S019",40508473421976,"N.D.T.區_02","N.D.T._02"
"S020",40508473421977,"成品區","Finished Product"
"S021",40508473421978,"修補區","Repair"
"S022",40508473421979,"N.D.T.區_Shear Key","N.D.T._Shear Key"
"Stabbing",40508473421980,"Stabbing","Stabbing"
"SystemLoading",40508473421981,"系統載入中…","Loading..."
"SystemName",40508473421982,"天茶 iBMS","TCIT iBMS"
"S_Ack",40508473421983,"已確認","Ack"
"S_Approving",40508473421984,"覆核中","Approving"
"S_Cancelled",40508473421985,"已取消收料","Cancelled"
"S_Changed",40508473421986,"轉工單","Changed"
"S_Completed",40508473421987,"已完成","Completed"
"S_Done",40508473421988,"已完工","Done"
"S_Error",40508473421989,"錯誤","Error"
"S_Exported",40508473421990,"已出貨","Deliverred"
"S_Fail",40508473421991,"故障中","FAIL"
"S_Handedover",40508473421992,"已移交","Handed over"
"S_Handover",40508473421993,"待移交","To be handed over"
"S_Idle",40508473421994,"閒置中","IDLE"
"S_Info",40508473421995,"注意","Info"
"S_InWork",40508473421996,"生產中","Work"
"S_LoadingCamera",40508473421997,"相機載入中...","Loading camera..."
"S_Maint",40508473421998,"保養中","MAINT"
"S_NotSet",40508473421999,"未設定","Not Set"
"S_OverWarranty",40508473422000,"過保","Over"
"S_Pause",40508473422001,"已暫結","Pause"
"S_Pending",40508473422002,"待處理","Pending"
"S_Processed",40508473422003,"已處理","Processed"
"S_Processing",40508473422004,"處理中","Processing"
"S_Qualified",40508473422005,"合格","OK"
"S_Receipt",40508473422006,"已完成收料","Receipt"
"S_Received",40508473422007,"已接收","Received"
"S_Redistribute",40508473422008,"另開工單","Another"
"S_Reject",40508473422009,"退件","Reject"
"S_Remind",40508473422010,"提醒","Remind"
"S_Repair",40508473422011,"維修中","REPAIR"
"S_Saved",40508473422012,"已儲存","Saved"
"S_Scheduled",40508473422013,"已排定","Scheduled"
"S_Sent",40508473422014,"已送出","Sent"
"S_SettedUp",40508473422015,"已設定","Setted Up"
"S_Start",40508473422016,"開始","Start"
"S_Submitted",40508473422017,"完工上傳","Submitted"
"S_Success",40508473422018,"結果","Success"
"S_ToBeExported",40508473422019,"待出貨","Ready To Ship"
"S_ToBePatched",40508473422020,"待修補","To be repaired"
"S_ToBeReceived",40508473422021,"待接收","To be accepted"
"S_ToBeTested",40508473422022,"待檢驗","To be inspected"
"S_Unack",40508473422023,"未確認","Unack"
"S_Undone",40508473422024,"未完成","Undone"
"S_Unqualified",40508473422025,"不合格","N.G."
"S_Warning",40508473422026,"警示","Warning"
"S_WorkCancelled",40508473422027,"已取消","Cancelled"
"T_AlarmMessage",40508473422028,"告警描述","Description"
"T_AlarmTime",40508473422029,"告警時間","Alarm Time"
"T_BeforeProcessing",40508473422030,"處理前拍照","Before processing"
"T_Building",40508473422031,"區域","Section"
"T_CheckForm",40508473422032,"檢查表","Check Form"
"T_CheckItems",40508473422033,"檢查項目","Inspection Contents"
"T_Class",40508473422034,"種類","Class"
"T_CnfmRate",40508473422035,"確認率","Rate"
"T_CompleteTime",40508473422036,"完成時間","Complete"
"T_CompletionReport",40508473422037,"完工說明","Completion Report"
"T_Component",40508473422038,"構件","Component"
"T_ConfirmTheNewPassword",40508473422039,"確認新密碼","Confirm the new password"
"T_Consumables",40508473422040,"耗材更換","Consumables Replacement"
"T_Content",40508473422041,"說明","Content"
"T_CWPF",40508473422042,"CWPF","CWPF"
"T_D",40508473422043,"天","D"
"T_Department",40508473422044,"報修單位","Dept."
"T_Description",40508473422045,"工單說明","Description"
"T_Device",40508473422046,"設備名稱","Device"
"T_DeviceData",40508473422047,"設備數據","Device Data"
"T_EnterYourPassword",40508473422048,"輸入你的密碼","Enter your password"
"T_Estimated",40508473422049,"預計工時","Estimated"
"T_ExecutionTime",40508473422050,"作業時間","Date Range"
"T_FinalTemp",40508473422051,"最後溫度","Temp"
"T_FirstComponentNo",40508473422052,"首個構件","First Component"
"T_Handle",40508473422053,"告警備註","Remarks"
"T_Handovered",40508473422054,"交接事項","Handover matters"
"T_HandoveredTime",40508477616128,"接收時間","Receiving Time"
"T_HandoverTime",40508477616129,"移交時間","Handover Time"
"T_IdleTime",40508477616130,"閒置時間","Idle Time"
"T_Insp",40508477616131,"巡檢","Inspection"
"T_InspBy",40508477616132,"處理人員","Insp. by"
"T_InspDate",40508477616133,"巡檢日期","Insp. Date"
"T_InspItems",40508477616134,"巡檢項目","Name"
"T_InspList",40508477616135,"巡檢清單","List"
"T_InspOrder",40508477616136,"巡檢單","Insp. Order"
"T_InspOrderNo",40508477616137,"巡檢單","Order No."
"T_Issue",40508477616138,"異常描述","Issue"
"T_IssueTime",40508477616139,"報修時間","Issue Time"
"T_Level",40508477616140,"優先等級","Level"
"T_Location",40508477616141,"位置描述","Location"
"T_ManHour",40508477616142,"總工時","Total Man Hour"
"T_Manufacturer",40508477616143,"廠商","Manufacturer"
"T_Method",40508477616144,"檢查方式","By"
"T_ModelNumber",40508477616145,"型號","ModelNo"
"T_New",40508477616146,"新單","New order"
"T_NewPassword",40508477616147,"新密碼","New Password"
"T_NO",40508477616148,"單號","No."
"T_OffLineTime",40508477616149,"資料時間","OffLine Time"
"T_PauseTime",40508477616150,"暫結時間","Pause"
"T_Process",40508477616151,"過程","Process"
"T_ProcessDescription",40508477616152,"處理說明","Process Description"
"T_ProcessedPhoto",40508477616153,"處理照片","Processed Photo"
"T_ProcessingTime",40508477616154,"處理時間","Processing Time"
"T_Processor",40508477616155,"處理人員","Processor"
"T_Product",40508477616156,"成品編號","Product"
"T_Rate",40508477616157,"完成率","Rate"
"T_Reason",40508477616158,"原因","Reason"
"T_ReceivingTime",40508477616159,"收料時間","Receiving Time"
"T_Reference",40508477616160,"參考值","Guideline"
"T_Reject",40508477616161,"退件說明","Instructions"
"T_RejectTime",40508477616162,"退件時間","Reject"
"T_Remark",40508477616163,"備註","Remark"
"T_Repair",40508477616164,"報修","Repair"
"T_RepairOrder",40508477616165,"報修單","Rep. Order"
"T_RepairTime",40508477616166,"報修時間","Time"
"T_Respond",40508477616167,"回覆內容","Content"
"T_Respondent",40508477616168,"回覆者","Respondent"
"T_RespondTime",40508477616169,"回覆時間","Respond Time"
"T_Result",40508477616170,"結果","Result"
"T_RunningTime",40508477616171,"執行時間","Running time"
"T_RunStatus",40508477616172,"啟停狀態","Status"
"T_ScheduledDate",40508477616173,"預排日期","Schedule"
"T_Setter",40508477616174,"設定者","Set by"
"T_SetTime",40508477616175,"設定時間","Set Time"
"T_Site",40508477616176,"站點","Site"
"T_Spend",40508477616177,"用時","Spend"
"T_StartingTime",40508477616178,"開始時間","Starting Time"
"T_Status",40508477616179,"狀態","Status"
"T_Summarize",40508477616180,"總結","Summarize"
"T_s_AlarmTime",40508477616181,"警報時間","Alarm Time"
"T_s_Insp",40508477616182,"巡檢","Insp."
"T_s_Maintain",40508477616183,"維修","Maint."
"T_s_NormalTime",40508477616184,"恢復時間","Normal Time"
"T_Tel",40508477616185,"電話","Tel."
"T_TotalTime",40508477616186,"花費時間","Total Time"
"T_Type",40508477616187,"型態","Type"
"T_UploadTime",40508477616188,"上傳時間","Upload Time"
"T_WarrantyDate",40508477616189,"保固日期","Warranty Date"
"T_WeldBead",40508477616190,"銲道","Weld Bead"
"T_WeldingMethod",40508477616191,"銲接方式","Method"
"T_WorkBy",40508477616192,"處理人員","Work by"
"T_WorkItems",40508477616193,"工單項目","Items"
"T_WorkLeader",40508477616194,"負責人員","Leader"
"T_WorkList",40508477616195,"工單清單","List"
"T_WorkOrder",40508477616196,"工單","Work Order"
"T_WorkOrderNo",40508477616197,"工單","Order No."
"T_WorkStartingTime",40508477616198,"作業開始","Starting Time"
"T_WpsNo",40508477616199,"銲材編號","W.C.No"
"W001",40508477616200,"預彎作業","Pre bending"
"W002",40508477616201,"切直部","Cutting Flat End"
"W003",40508477616202,"捲圓作業","Rollers Plate Bending"
"W004",40508477616203,"點銲作業","Tack Welding Work"
"W005",40508477616204,"迴圓作業","Re-rolling Work"
"W006",40508477616205,"預熱作業","Pre-heat Work"
"W007",40508477616206,"銲接作業","Welding Work"
"W008",40508477616207,"清根作業","Seam Milling Work"
"W009",40508477616208,"VT 作業","VT Work"
"W010",40508477616209,"MT 作業","MT Work"
"W011",40508477616210,"UT 作業","UT Work"
"W012",40508477616211,"組對","Assembly"
"W013",40508477616212,"取消組對","UnAssembly"
"W014",40508477616213,"組立","Assembly"
"W015",40508477616214,"取消組立","UnAssembly"
"W016",40508477616215,"歷程查詢","History Query"
"W017",40508477616216,"研磨","Grind"
"不合格",40571522199553,"不合格","N.G."
"不良",40571522199554,"不良","N.G."
"乾淨",40571522199555,"乾淨","Clean"
"使用者語系",40571522199556,"使用者語系","Language"
"全部產品專案代號",40571522199557,"全部產品專案代號","All product project codes"
"全部鋼板與組配件",40571522199558,"全部鋼板與組配件","All Plate And Assemblies"
"分",40571522199559,"分","m"
"分鐘",40571522199560,"分鐘","Min"
"可附加照片",40571522199561,"可附加照片","Photos can be attached."
"合格",40571522199562,"合格","OK"
"品保員",40571522199563,"品保員","QC"
"執行人員",40571522199564,"執行人員","By"
"報修人",40571522199565,"報修人","Issued by"
"填充 F",40571522199566,"填充 F","F"
"定位板",40571522199567,"定位板","Positioning plate"
"展開流程",40571522199568,"全展開流程","Launch process"
"廠內構件編號",40571522199569,"廠內構件編號","In-plant component number"
"成品狀態設定",40571522199570,"成品狀態設定","Finished product status setting"
"成品編號",40571522199571,"成品編號","Finished Product No."
"手動清潔",40571522199572,"手動清潔","Manual cleaning"
"打底 R",40571522199573,"打底 R","R"
"掃描任一構件 QR code 後開始作業",40571522199574,"掃描任一構件 QR code 後開始作業","Scan component QR code"
"掃描構件 QR code 後開始作業",40571522199575,"掃描構件 QR code 後開始作業","Scan component QR code"
"掃描構件 QR code 進行歷程查詢",40571522199576,"掃描構件 QR code 進行歷程查詢","Scan component QR code"
"操作員",40571522199577,"操作員","OP"
"收合流程",40571522199578,"全收合流程","Collapse process"
"時",40571522199579,"時","h"
"最後溫度",40571522199580,"最後溫度","Final temperature"
"業主原始物件編號",40571522199581,"原始物件編號","Owner's original item number"
"檢驗人",40571522199582,"檢驗人","Inspector"
"正常",40571522199583,"正常","Normal"
"灌漿管圓管",40571522199584,"灌漿管圓管","Grout Pipe"
"灌漿管配件",40571522199585,"灌漿管配件","Grout Pipe Fitting"
"照片",40571522199586,"照片","Photo"
"異常",40571522199587,"異常","Abnormal"
"目視檢查",40571522199588,"目視檢查","Visual"
"移交人",40571522199589,"移交人","Transferor"
"良好",40571522199590,"良好","Good"
"蓋面 C",40571522199591,"蓋面 C","C"
"處理前拍照",40571522199592,"處理前拍照","Before processing"
"處理前照片",40571522199593,"處理前照片","Before processing"
"處理後照片",40571522199594,"處理後照片","After processing"
"設備編號",40571522199595,"設備編號","Device ID"
"請先掃描站點 QR code",40571522199596,"請先掃描站點 QR code","Scan the QR Code of the site first"
"請先掃描設備 QR code",40571522199597,"請先掃描設備 QR code","Please scan the device QR code first"
"請選成品編號",40571522199598,"請選成品編號","Choose Finished Product No."
"請選擇修補種類",40571522199599,"請選擇修補種類","Choose CWPF."
"請選擇銲道",40571522199600,"請選擇銲道","Choose Welding Bead."
"請選銲道",40571522199601,"請選銲道","Choose Welding Bead."
"請附加照片",40571522199602,"請附加照片","Please attach a photo."
"變更成品狀態",40571522199603,"變更成品狀態","Change product status."
"輸入交接內容",40571522199604,"輸入交接內容","Enter the handover content."
"輸入備註說明",40571522199605,"輸入備註說明","Input a note description."
"輸入最後溫度",40571522199606,"輸入最後溫度","Input final temperature."
"輸入異常描述",40571522199607,"輸入異常描述","Input Issue."
"輸入總結",40571522199608,"輸入總結","Enter a summary."
"輸入銲材編號",40571522199609,"輸入銲材編號","Input Welding Consumables No."
"銲材編號",40571522199610,"銲材編號","Welding Consumables No"
"銲道數",40571522199611,"銲道數","Welding Num"
"銲道編號",40571522199612,"銲道編號","Welding Bead No"
"鋼板",40571522199613,"鋼板","Plate"
"預設處理人員",40571522199614,"預設人員","By"
"驗收單號",40571522199615,"驗收單號","Acceptance No."
"髒污",40571522199616,"髒污","Dirty"
"點銲 T.W.",40571522199617,"點銲 T.W.","T.W."
"無資料紀錄",40571522199618,"無資料紀錄","No Data"
"T_NormalTime",40508477616280,,
"T_NoNetwork",2143432511008768,"目前為離線模式 資料將在恢復網路後自動上傳","You are in offline mode. Data will be uploaded when the network is restored."
"T_NoDetectCamera",6885453347893248,"無法開啟相機","Unable to turn on camera."
"T_Total",12631394730323968,"累計","Total"
"T_PendingUpload",12633148209442816,"筆待上傳","Uploads Pending"
"T_CameraUsageDescription",12995065327333376,"此程式需要使用相機以便進行影像擷取功能。","This app requires access to the camera for capturing photos or video streams."
"T_LocalizationUsageDescription",12995380164374528,"應用程式使用在地化資料以您的首選語言呈現內容","App uses localization data to present content in your preferred language."
